country,iso3,year,indicator,value
Bangladesh,BGD,2019,current_account,-0.839485005371136
Bangladesh,BGD,2020,current_account,0.318940441964321
Bangladesh,BGD,2021,current_account,-3.78969259910935
Bangladesh,BGD,2022,current_account,-3.81010813041237
Bangladesh,BGD,2023,current_account,-1.64602823544154
Bangladesh,BGD,2024,current_account,-0.669466607987832
Bangladesh,BGD,2025,current_account,-0.0524732355435052
Bangladesh,BGD,2019,external_debt_gni,17.0856511809436
Bangladesh,BGD,2020,external_debt_gni,18.8853836099419
Bangladesh,BGD,2021,external_debt_gni,20.8766117836117
Bangladesh,BGD,2022,external_debt_gni,20.2659753173734
Bangladesh,BGD,2023,external_debt_gni,22.285488486933
Bangladesh,BGD,2024,external_debt_gni,22.2547977203389
Bangladesh,BGD,2019,gdp_growth,7.88191515117722
Bangladesh,BGD,2020,gdp_growth,3.44801755122445
Bangladesh,BGD,2021,gdp_growth,6.93867912442445
Bangladesh,BGD,2022,gdp_growth,7.09982877575158
Bangladesh,BGD,2023,gdp_growth,5.77511237007889
Bangladesh,BGD,2024,gdp_growth,4.22325911250161
Bangladesh,BGD,2025,gdp_growth,3.48990671836833
Bangladesh,BGD,2019,inflation,5.59199639930629
Bangladesh,BGD,2020,inflation,5.69107474746211
Bangladesh,BGD,2021,inflation,5.54565430773473
Bangladesh,BGD,2022,inflation,7.69695437176898
Bangladesh,BGD,2023,inflation,9.8835030377921
Bangladesh,BGD,2024,inflation,10.4657482763412
Bangladesh,BGD,2025,inflation,8.7687628116114
Bangladesh,BGD,2019,reserves_months,5.85933450460047
Bangladesh,BGD,2020,reserves_months,8.65813724626272
Bangladesh,BGD,2021,reserves_months,6.29023985723134
Bangladesh,BGD,2022,reserves_months,4.18907976493715
Bangladesh,BGD,2023,reserves_months,3.3558121828929
Bangladesh,BGD,2024,reserves_months,3.07374348965567
Bangladesh,BGD,2025,reserves_months,3.91092137452087
Brazil,BRA,2019,current_account,-3.41429103072781
Brazil,BRA,2020,current_account,-1.64103541830151
Brazil,BRA,2021,current_account,-2.35822097223117
Brazil,BRA,2022,current_account,-2.14967698505073
Brazil,BRA,2023,current_account,-1.23139445763703
Brazil,BRA,2024,current_account,-2.9880142706208
Brazil,BRA,2025,current_account,-2.92630139201733
Brazil,BRA,2019,external_debt_gni,31.1964144613097
Brazil,BRA,2020,external_debt_gni,38.0076646022397
Brazil,BRA,2021,external_debt_gni,35.2910131878973
Brazil,BRA,2022,external_debt_gni,30.5621181630478
Brazil,BRA,2023,external_debt_gni,28.628650184641
Brazil,BRA,2024,external_debt_gni,28.6612661075538
Brazil,BRA,2019,gdp_growth,1.22077782360842
Brazil,BRA,2020,gdp_growth,-3.2767587964736
Brazil,BRA,2021,gdp_growth,4.76260437908608
Brazil,BRA,2022,gdp_growth,3.01669435393015
Brazil,BRA,2023,gdp_growth,3.24165532906981
Brazil,BRA,2024,gdp_growth,3.41931516501906
Brazil,BRA,2025,gdp_growth,2.2857464902475
Brazil,BRA,2019,inflation,3.73297621216894
Brazil,BRA,2020,inflation,3.21176803803376
Brazil,BRA,2021,inflation,8.30165975585673
Brazil,BRA,2022,inflation,9.28010608956873
Brazil,BRA,2023,inflation,4.59356282283204
Brazil,BRA,2024,inflation,4.36746407652337
Brazil,BRA,2025,inflation,5.01675279604836
Brazil,BRA,2019,reserves_months,12.2312070465136
Brazil,BRA,2020,reserves_months,14.9438769882272
Brazil,BRA,2021,reserves_months,11.1402301211994
Brazil,BRA,2022,reserves_months,8.33579218529621
Brazil,BRA,2023,reserves_months,9.42965093795292
Brazil,BRA,2024,reserves_months,7.95225602897552
Brazil,BRA,2025,reserves_months,8.4209144130353
Chile,CHL,2019,current_account,-5.21201190646601
Chile,CHL,2020,current_account,-1.96248572878056
Chile,CHL,2021,current_account,-7.29452522459608
Chile,CHL,2022,current_account,-8.87430060140152
